CustomerID,FirstName,LastName,Address,ContactNo,EmailID,BranchID,BranchLocation,BranchCode,BranchAddress,BranchContactNo,AccountID,AccountType,Balance,TransactionID,TransactionType,TransactionAmount,TransactionDate,LoanID,LoanAmount,LoanType,InterestRate,Term,Status
21,Michael,Jones,3388 Yates Gateway,+91 6323968671,ypatrick@example.com,121,Woodsfort,AX00021,26288 Ashley Squares,+91 9734019344,221,Credit,20486.23,21,Transfer,9278.18,13-09-2020 20:22,321,69555.13,Home Loan,5.00%,3 yrs,Rejected
22,Brooke,Morales,730 Ellis Stravenue,+91 7236447280,wgallegos@example.com,122,Francisside,AX00022,946 Jamie Dam Apt. 762,+91 6640927152,222,Savings,11909.38,22,Withdrawal,7671.86,05-10-2022 03:40,322,90309.1,Personal Loan,4.70%,11 yrs,Rejected
23,Jason,Cox,554 Maldonado Shoals,+91 7826330471,williamsryan@example.com,123,South Ashleyton,AX00023,095 Benjamin Burg Suite 672,+91 8721488320,223,Savings,2695.94,23,Transfer,8773.06,02-05-2022 10:52,323,79640.73,Personal Loan,6.80%,19 yrs,Rejected
24,Timothy,Martinez,79402 Michael View,+91 7594282511,lwoods@example.org,124,Amyport,AX00024,7293 Deborah Cliff,+91 9908340818,224,Savings,59918.09,24,Deposit,5519.83,30-06-2020 21:03,324,68956.77,Education Loan,3.80%,21 yrs,Rejected
25,Sandra,Hernandez,9991 Bates Light Suite 146,+91 6209872459,kwilliams@example.com,125,West Anthony,AX00025,161 Shelley View Suite 961,+91 6045222712,225,Checking,74949.28,25,Deposit,4552.22,11-08-2021 23:15,325,86263.48,Home Loan,8.30%,26 yrs,Rejected
26,Nathan,Lewis,3315 Hunter Gateway Apt. 153,+91 9365799294,stevenstone@example.org,126,Port Robertton,AX00026,2251 White Mount Apt. 907,+91 9070209073,226,Checking,43718.01,26,Withdrawal,2549.24,17-07-2021 19:10,326,39828,Personal Loan,7.20%,22 yrs,Rejected
27,Ian,Cruz,63862 Davidson Road Suite 913,+91 7191124643,todd84@example.net,127,North Drewburgh,AX00027,5533 Calderon Centers,+91 8334478425,227,Savings,2492.5,27,Withdrawal,4898.7,15-07-2020 04:22,327,66057.04,Home Loan,3.90%,24 yrs,Rejected
28,Stacey,Massey,1538 Tiffany Drives Suite 123,+91 6347419644,jpoole@example.org,128,Brownport,AX00028,998 David Branch Suite 145,+91 6756608170,228,Credit,90951.81,28,Transfer,1429.05,25-12-2022 02:25,328,24218.13,Education Loan,3.80%,25 yrs,Pending
29,Kayla,Palmer,697 Rogers Tunnel,+91 6283654480,andrewdominguez@example.com,129,West Danamouth,AX00029,1274 Taylor Extension Apt. 078,+91 9786406140,229,Checking,75577.02,29,Transfer,7095.65,16-07-2022 20:11,329,89103.27,Home Loan,3.80%,10 yrs,Approved
30,Timothy,Shepard,598 David Ports Suite 082,+91 9044227355,pottskimberly@example.org,130,Medinaview,AX00030,560 Amy Isle,+91 6692475491,230,Credit,27126.06,30,Withdrawal,3635.1,14-11-2021 02:42,330,93734.85,Personal Loan,6.00%,9 yrs,Approved
31,Marissa,Carrillo,027 Johnson Plaza Suite 832,+91 8889077531,josephchavez@example.com,131,West Tiffany,AX00031,93365 Rodney Avenue Apt. 379,+91 8429236335,231,Savings,69370.35,31,Deposit,2412.82,04-09-2020 05:25,331,67427.45,Personal Loan,3.70%,9 yrs,Rejected
32,Jessica,Ramirez,22438 Davis Trace,+91 9327358794,qrangel@example.com,132,West Jacob,AX00032,5718 Lisa Groves,+91 6704403593,232,Savings,47457.39,32,Deposit,3711.57,27-04-2022 15:20,332,85069.54,Personal Loan,2.50%,9 yrs,Rejected
33,Dave,Davila,85500 Mary Keys Apt. 306,+91 6334455061,rebeccaday@example.com,133,Lake Jamesshire,AX00033,651 David Estate Suite 525,+91 9109747369,233,Savings,32908.57,33,Withdrawal,7876.91,23-06-2022 09:17,333,92319.22,Home Loan,3.20%,20 yrs,Rejected
34,Debra,Robertson,46126 Sandra Port,+91 8299473086,valdezhayley@example.org,134,Austinton,AX00034,305 Joshua Mountain Suite 135,+91 7786151092,234,Credit,4114.35,34,Withdrawal,1016.55,02-09-2022 11:22,334,38772.38,Personal Loan,3.30%,11 yrs,Approved
35,Robin,Ryan,732 Todd Manors Suite 899,+91 6617832779,alexandrabest@example.org,135,Durhamberg,AX00035,3062 Green Heights Apt. 152,+91 6764335202,235,Savings,19091.79,35,Deposit,1295.81,14-01-2023 23:04,335,21858.5,Personal Loan,5.80%,20 yrs,Pending
36,William,Wood,18197 Mary Viaduct,+91 9788854233,alejandro35@example.net,136,Nguyenbury,AX00036,0733 Jeffrey Radial,+91 7240313562,236,Savings,44915.83,36,Transfer,9822.11,12-09-2020 19:45,336,59597.08,Home Loan,2.00%,21 yrs,Rejected
37,Lawrence,Richmond,7896 Christine Land,+91 8333138835,tiffanyvazquez@example.com,137,Aaronfurt,AX00037,542 Walker Cliff,+91 7878566026,237,Checking,41802.97,37,Deposit,4038.54,04-05-2023 22:47,337,46509.89,Home Loan,8.80%,27 yrs,Rejected
38,Samuel,Matthews,49022 Parks Vista Suite 259,+91 7382504142,sarah17@example.com,138,Schmidtview,AX00038,0637 Beck Freeway Suite 447,+91 8359277359,238,Savings,65731.66,38,Transfer,4665.63,30-10-2022 20:20,338,75231.52,Education Loan,5.50%,14 yrs,Pending
39,Christopher,Brown,3115 Richard Expressway,+91 7699794049,gomezsarah@example.com,139,West John,AX00039,700 Mann Freeway Apt. 948,+91 6245987147,239,Savings,7776.26,39,Withdrawal,8880.6,05-02-2021 01:02,339,79399.07,Education Loan,7.60%,1 yrs,Approved
40,John,Lamb,177 Alexandra Road Suite 050,+91 8131154604,justindorsey@example.org,140,East Paul,AX00040,081 Alexandra Haven,+91 7213592903,240,Credit,97057.99,40,Deposit,3973.39,09-11-2022 03:47,340,71782.37,Education Loan,5.40%,17 yrs,Rejected
41,Christine,Greene,370 Andre Field,+91 9173054841,foleyjoyce@example.org,141,Youngton,AX00041,234 Keller Gardens Apt. 567,+91 7585426934,241,Credit,62493.54,41,Transfer,3890.38,26-08-2023 04:46,341,60397.26,Education Loan,9.20%,11 yrs,Rejected
42,Bryan,Santiago,35665 Stephenson Extensions,+91 7900977123,kellydavis@example.org,142,Herringbury,AX00042,449 Cody Station,+91 6655834373,242,Credit,37575.65,42,Deposit,7060.37,12-02-2022 12:42,342,42764.83,Personal Loan,4.40%,19 yrs,Rejected
43,Linda,Woods,119 Gabrielle Village,+91 6670483411,chris85@example.com,143,Johnburgh,AX00043,459 Barry Harbor Suite 719,+91 8432267201,243,Savings,19511.08,43,Deposit,54.45,04-01-2022 16:55,343,33185.88,Education Loan,3.10%,7 yrs,Pending
44,Brian,Bryant,3979 Murray Stravenue,+91 9849981776,christineho@example.org,144,North Tylerton,AX00044,981 Lynn Ramp,+91 7979803176,244,Checking,2829.04,44,Transfer,7716.8,15-03-2022 17:24,344,19940.9,Personal Loan,6.60%,25 yrs,Approved
45,Christopher,Hill,3800 Brooks Terrace,+91 8658126356,sabrina19@example.org,145,East Zoe,AX00045,0085 Daugherty Passage Suite 841,+91 6763611126,245,Checking,24241.73,45,Deposit,6527.22,02-02-2023 05:23,345,86565.77,Personal Loan,6.90%,23 yrs,Rejected
46,Abigail,Curry,41768 Abigail Keys,+91 8322494785,gregorycollier@example.org,146,Jessicafurt,AX00046,00218 Trevor Fields,+91 9071797463,246,Checking,28712.06,46,Withdrawal,9851.71,30-09-2023 05:29,346,98896.21,Home Loan,4.20%,14 yrs,Rejected
47,Brooke,Gomez,0320 Cox Burgs Suite 925,+91 7977172914,gregoryjacob@example.net,147,West Karenmouth,AX00047,5591 Allen Landing,+91 7998155426,247,Savings,76446.7,47,Withdrawal,565.74,01-11-2022 14:14,347,55602.83,Home Loan,9.50%,10 yrs,Pending
48,Dave,Tanner,0413 Gabriel Highway Suite 090,+91 8407136624,millerjennifer@example.org,148,West Billy,AX00048,167 Tina Fork Suite 244,+91 7062868113,248,Savings,54572.84,48,Deposit,4786.07,29-02-2020 04:22,348,17205.06,Home Loan,7.10%,27 yrs,Approved
49,David,Rodriguez,67833 Tara Orchard Apt. 044,+91 6744260049,ernesttrujillo@example.net,149,South Gilbert,AX00049,50880 Heather Stravenue Suite 100,+91 6908716595,249,Checking,46855.45,49,Withdrawal,2020.03,05-12-2022 03:55,349,85075.94,Education Loan,5.60%,28 yrs,Approved
50,Joseph,Riley,99821 John Run,+91 6784987948,ujacobson@example.com,150,Schneiderview,AX00050,463 Charles Courts,+91 7347285917,250,Checking,29332.49,50,Transfer,6934.29,05-03-2022 10:17,350,18062.03,Home Loan,6.50%,8 yrs,Rejected
51,Nicole,Turner,70982 Owen Tunnel Apt. 856,+91 7159321976,jmills@example.com,151,New Ronald,AX00051,500 Alvarado Stream,+91 9509436842,251,Credit,37812.59,51,Withdrawal,4279.85,30-06-2021 09:55,351,27801.62,Personal Loan,3.10%,22 yrs,Pending
52,Tammy,Gomez,109 Joshua Plaza Apt. 611,+91 8154308488,nicole32@example.com,152,Tonyview,AX00052,7851 Timothy Viaduct,+91 8975933096,252,Savings,93542.8,52,Withdrawal,6815.28,23-12-2022 00:31,352,79542.01,Personal Loan,3.70%,22 yrs,Pending
53,Joshua,Taylor,792 Taylor Island,+91 6056042754,donald63@example.org,153,Lake Raymond,AX00053,296 Mullen Centers,+91 6348896747,253,Savings,31698.17,53,Transfer,9535.43,26-09-2020 19:43,353,50256.16,Home Loan,5.20%,30 yrs,Rejected
54,Ryan,Carr,48972 Mcclain Gateway,+91 6374520175,tchurch@example.org,154,Jacobland,AX00054,8690 Harris Roads Suite 494,+91 7667474856,254,Checking,25612.17,54,Withdrawal,7815.81,04-02-2021 15:12,354,89309.73,Education Loan,4.50%,19 yrs,Approved
55,Gloria,Bowman,37086 Mendez Park Apt. 176,+91 6975120003,hillbrian@example.net,155,West Johnathanville,AX00055,88341 Mcpherson Terrace Suite 154,+91 7565249651,255,Checking,29221.25,55,Withdrawal,8904.8,22-04-2023 07:32,355,16677.66,Personal Loan,3.80%,28 yrs,Pending
56,Emily,Ramsey,1741 Samantha Port Apt. 523,+91 7044523613,qnorton@example.com,156,Courtneyview,AX00056,7936 Gonzalez Expressway,+91 9991507684,256,Checking,49192.19,56,Transfer,276.05,08-04-2022 15:30,356,80996.09,Personal Loan,2.40%,6 yrs,Approved
57,Terry,Ryan,81613 Frank Plain,+91 9702949801,angela21@example.net,157,Ronaldmouth,AX00057,788 Gibson Springs,+91 6447250510,257,Credit,52012.91,57,Deposit,6322.17,23-11-2021 14:18,357,79233.49,Home Loan,6.90%,3 yrs,Rejected
58,Autumn,Mann,35719 Amy Estate,+91 6995602941,yreynolds@example.net,158,Lake Elizabeth,AX00058,59804 Ronald Divide,+91 6109860606,258,Credit,63537.32,58,Deposit,7162.96,29-11-2022 21:59,358,62874.6,Personal Loan,4.20%,24 yrs,Pending
59,Joseph,Hamilton,58509 Christina Row,+91 6046878390,levinelouis@example.org,159,Davidberg,AX00059,61704 Smith Station Suite 336,+91 8799701766,259,Savings,18226.25,59,Transfer,317.98,06-02-2021 02:07,359,57747.89,Personal Loan,5.60%,28 yrs,Pending
60,Hannah,Adams,139 Campbell Squares Apt. 089,+91 7646630947,morrisjoseph@example.com,160,Bensonfurt,AX00060,82413 Jessica Overpass,+91 7378056016,260,Credit,16803.68,60,Transfer,4599.37,09-02-2020 17:04,360,39217.07,Personal Loan,9.00%,25 yrs,Pending
61,Laura,Rodriguez,807 Garrison Valleys,+91 6696160490,amorales@example.net,161,Andersonshire,AX00061,99903 Victoria Cliffs,+91 9479795193,261,Savings,86127.64,61,Transfer,310.35,23-06-2023 18:36,361,62144.59,Personal Loan,3.80%,28 yrs,Rejected
62,Rebecca,Johnson,606 Paige Union,+91 6049908757,deborah60@example.net,162,Bryanfort,AX00062,5000 Louis Key Apt. 266,+91 8282451293,262,Credit,34140.32,62,Deposit,7920.32,28-08-2021 15:20,362,60955.68,Home Loan,6.20%,20 yrs,Approved
63,Scott,Miller,3167 Gilbert Mount,+91 8295473203,susanmccarthy@example.org,163,Kimton,AX00063,96471 Michelle Islands,+91 6315102571,263,Credit,4514.75,63,Deposit,1876.39,22-12-2021 00:04,363,50683.67,Education Loan,7.90%,12 yrs,Approved
64,Sarah,Diaz,66319 Christopher Harbors,+91 6842165227,rhughes@example.net,164,Port Adam,AX00064,22385 Savannah Keys Apt. 032,+91 6917735537,264,Checking,71509.31,64,Transfer,7890.24,29-01-2022 17:58,364,66397.43,Home Loan,8.50%,15 yrs,Rejected
65,Christopher,Mack,28007 Sandra Cliff,+91 8992091943,michael54@example.org,165,Curtisport,AX00065,360 Anthony Forge,+91 9141656483,265,Savings,1909.75,65,Transfer,3388.75,26-01-2022 09:09,365,16814.33,Home Loan,5.60%,6 yrs,Approved
66,David,Thompson,3622 Simmons Mall,+91 7314065417,jennifer66@example.com,166,West Tommyshire,AX00066,1454 Angela Islands,+91 7712121884,266,Credit,36757.28,66,Transfer,1320.69,16-01-2022 04:41,366,92708.96,Personal Loan,6.60%,7 yrs,Rejected
67,Michael,Hoover,64437 Stone Plains Apt. 885,+91 7054671935,lhamilton@example.net,167,Dustinport,AX00067,774 Jordan Cape,+91 9857023107,267,Savings,31202.92,67,Deposit,5657.87,20-09-2021 08:14,367,87029.18,Home Loan,6.00%,2 yrs,Approved
68,Michelle,Ward,562 Fernandez Field,+91 8213700005,nancygutierrez@example.com,168,West Amandamouth,AX00068,98955 Noah Village,+91 8052132473,268,Credit,3685.96,68,Withdrawal,8397.44,24-09-2020 02:48,368,23292.94,Education Loan,8.50%,2 yrs,Rejected
69,David,Miller,997 Donald Forks,+91 7195823973,oholden@example.org,169,South Shelia,AX00069,629 Jones Spurs,+91 6327603773,269,Checking,4277.3,69,Transfer,1280.17,13-02-2023 17:09,369,20612.25,Personal Loan,4.20%,1 yrs,Rejected
70,Sarah,Russell,0806 Joanna Motorway Apt. 716,+91 7377562559,kevin49@example.com,170,East Christyburgh,AX00070,201 Maldonado Village Suite 375,+91 7528461082,270,Checking,37407.8,70,Deposit,7443.72,11-04-2023 10:27,370,88365.2,Personal Loan,5.70%,28 yrs,Approved
71,Brian,Williams,20567 Medina Shore Suite 206,+91 8961308531,bjohnson@example.net,171,New Ashley,AX00071,76190 Evans Mission Apt. 860,+91 9678593246,271,Savings,23852.48,71,Transfer,5275.63,18-11-2021 04:39,371,15366.79,Education Loan,5.60%,29 yrs,Rejected
72,Christopher,Caldwell,1697 Rodriguez Greens,+91 6775003729,rhall@example.net,172,Port Danielville,AX00072,046 Lauren Plaza Suite 365,+91 6313255783,272,Checking,73443.74,72,Transfer,8714.24,22-10-2022 11:06,372,12528.98,Personal Loan,9.30%,7 yrs,Rejected
73,Benjamin,Chavez,464 Marshall Manor,+91 8287679735,samanthaedwards@example.com,173,East Raymondborough,AX00073,368 Logan Trace,+91 6311131786,273,Checking,46530.67,73,Withdrawal,9229.57,23-09-2021 12:19,373,67146.36,Personal Loan,6.50%,16 yrs,Rejected
74,William,Patterson,964 Conway Lake Apt. 870,+91 9581438541,nortontamara@example.com,174,Dennisbury,AX00074,389 Cruz Avenue Apt. 846,+91 9423836960,274,Checking,17484.53,74,Withdrawal,1382.73,07-10-2021 19:01,374,97492.42,Education Loan,10.00%,27 yrs,Pending
75,Rose,Sullivan,423 Michelle Rue,+91 8602223795,twalsh@example.net,175,Jimenezville,AX00075,4337 Kelly Villages,+91 7021112088,275,Savings,35302.96,75,Deposit,2836.19,22-07-2023 23:25,375,34815.79,Education Loan,8.70%,20 yrs,Rejected
76,David,Taylor,6655 Bennett Fields,+91 6559205923,djimenez@example.com,176,Leeburgh,AX00076,479 Logan Overpass,+91 8086643591,276,Credit,75291.72,76,Withdrawal,9731.75,18-05-2020 18:32,376,68062.8,Personal Loan,9.60%,14 yrs,Pending
77,Tyler,Oneal,902 Alexandra Drive,+91 9647003317,daniel24@example.com,177,Camposfort,AX00077,311 Santana Station Apt. 561,+91 9282319972,277,Savings,13566.45,77,Transfer,9725.99,15-11-2020 11:21,377,55974.88,Home Loan,9.60%,20 yrs,Rejected
78,Brandon,Charles,1575 Russell Loaf,+91 8834252786,jill12@example.com,178,Port Allison,AX00078,3742 Robinson Prairie Suite 460,+91 7780158833,278,Savings,72675.65,78,Deposit,4943.34,03-02-2023 22:20,378,81000.45,Personal Loan,2.90%,8 yrs,Approved
79,Maxwell,Franklin,1726 Galvan Ridges,+91 6862709502,ericwall@example.com,179,East Christopher,AX00079,8526 Anthony Stream Suite 195,+91 8710625432,279,Checking,23780.9,79,Withdrawal,4871.38,03-03-2022 09:00,379,50433.28,Home Loan,7.30%,27 yrs,Approved
80,Daniel,Castillo,082 Caitlin Fall,+91 9590798097,timothy26@example.net,180,Mcdanielfort,AX00080,7801 Hunt Ford,+91 6365997846,280,Checking,61459.68,80,Transfer,7309.04,22-10-2020 13:24,380,12881.57,Personal Loan,4.30%,14 yrs,Rejected
81,Nicholas,Pratt,6121 Simon Place,+91 8915102962,klinegary@example.org,181,New Debrafort,AX00081,2913 Stone Rue Suite 932,+91 7254445239,281,Checking,47794.47,81,Transfer,4613.15,05-10-2021 07:51,381,47683.05,Home Loan,6.00%,9 yrs,Pending
82,Stephanie,Carter,42853 Hill Bridge,+91 9153163358,clarkmichelle@example.org,182,Chelseystad,AX00082,812 Sara Wells Suite 610,+91 6512206609,282,Credit,51463.12,82,Withdrawal,4321.65,23-10-2022 13:20,382,83312.9,Home Loan,8.10%,27 yrs,Rejected
83,April,Dixon,91206 Rodriguez Alley,+91 8562393586,michellemorris@example.net,183,Amandashire,AX00083,121 Hunter Pine,+91 9531420408,283,Credit,19594.74,83,Withdrawal,7981.06,09-01-2021 18:45,383,36978.45,Personal Loan,8.20%,16 yrs,Pending
84,Nancy,Oliver,0483 Stephen Locks,+91 7920622840,jonesrachel@example.net,184,South Sarahville,AX00084,436 Aaron Parkway Apt. 332,+91 6135086923,284,Savings,25170.03,84,Withdrawal,116.94,25-12-2020 10:29,384,74624.01,Home Loan,9.30%,25 yrs,Rejected
85,Alicia,Smith,0179 Williams Dale Apt. 761,+91 9677478897,richardortiz@example.com,185,Port Teresahaven,AX00085,5573 Campbell Summit Suite 064,+91 6285932398,285,Savings,56684.65,85,Withdrawal,7499.9,27-08-2023 03:18,385,15782.85,Home Loan,6.70%,26 yrs,Approved
86,Donna,Daugherty,40582 Tammy Groves,+91 9717529763,shannonburch@example.com,186,Roberthaven,AX00086,4601 Townsend Parks Suite 343,+91 7992650980,286,Checking,97281.12,86,Transfer,6286.99,14-05-2022 15:33,386,81227.1,Education Loan,2.80%,7 yrs,Approved
87,David,Moore,3496 Johnson Parkway Apt. 850,+91 8733512289,nharrington@example.net,187,West Ashleyburgh,AX00087,7104 Jennifer Center,+91 7632852472,287,Checking,47743.89,87,Withdrawal,1286.37,21-07-2022 11:57,387,29012.23,Education Loan,6.00%,24 yrs,Rejected
88,Darlene,Kim,5631 Parker Ford Apt. 931,+91 6252639337,owalker@example.org,188,East Katherinetown,AX00088,067 Theresa Dam,+91 8000726310,288,Checking,15056.37,88,Withdrawal,6595.09,03-05-2022 00:33,388,18182.33,Home Loan,9.30%,23 yrs,Rejected
89,John,Dominguez,75537 Parker Fall,+91 6089544671,davidjackson@example.net,189,Port Lisa,AX00089,8673 Steven Garden,+91 7330812207,289,Credit,97604.39,89,Transfer,8487.95,25-08-2020 03:14,389,36118.31,Education Loan,7.50%,8 yrs,Approved
90,Kim,Bartlett,94963 Dorsey Shoal,+91 9072607325,susanmoore@example.net,190,Penningtonburgh,AX00090,6644 Stuart Fork,+91 6731800415,290,Checking,86621.37,90,Deposit,483.88,18-07-2021 13:49,390,59767.6,Personal Loan,2.90%,23 yrs,Rejected
91,Christopher,Matthews,4535 Mclaughlin Shores,+91 7824873717,audrey53@example.com,191,Jasmineshire,AX00091,26465 Lopez Run,+91 7350187948,291,Checking,17137.71,91,Transfer,8274.22,03-01-2023 13:19,391,18021.21,Home Loan,6.30%,2 yrs,Rejected
92,Ronald,Ramirez,828 Jason Stravenue Suite 603,+91 6954578032,timothymartinez@example.org,192,West Douglas,AX00092,03243 Castro Green,+91 8032709430,292,Savings,54504.2,92,Deposit,1550.47,21-08-2021 07:59,392,70309.82,Personal Loan,7.20%,10 yrs,Rejected
93,Kelly,Moore,074 Elizabeth Ridges,+91 7949118652,michaelthompson@example.net,193,West Katieville,AX00093,0644 Murray Mountains Suite 050,+91 8622354200,293,Credit,89815.96,93,Transfer,5362.36,12-11-2022 00:32,393,46247.14,Education Loan,9.90%,1 yrs,Approved
94,Marcus,Kelly,40490 Snyder Gateway,+91 6504284342,sotochristina@example.com,194,Lake Sergio,AX00094,937 Lopez Crossroad Suite 422,+91 8042536402,294,Savings,21176.95,94,Deposit,4960.94,07-09-2020 09:19,394,23294.88,Home Loan,3.60%,8 yrs,Approved
95,Robert,Mcintyre,3919 Chen Turnpike,+91 8082431140,chrisdavis@example.org,195,Lisastad,AX00095,36665 Williams Ferry Suite 398,+91 7344684200,295,Checking,14966.33,95,Withdrawal,8572.6,07-05-2022 00:20,395,14978.59,Home Loan,2.40%,28 yrs,Pending
96,Adam,Jones,7554 Christina Crest Apt. 076,+91 9832584162,onorris@example.net,196,New Danielshire,AX00096,52589 Conrad Unions,+91 6058462428,296,Savings,32678.43,96,Transfer,6588.28,18-08-2021 16:25,396,92179.81,Education Loan,8.60%,21 yrs,Approved
97,Andrew,Vasquez,85170 Savannah Pines,+91 8726593438,foxkimberly@example.org,197,Lake Leahbury,AX00097,353 Alicia Stream,+91 6210496775,297,Checking,80138.18,97,Transfer,9833.18,29-08-2020 07:33,397,38088.22,Education Loan,5.70%,25 yrs,Approved
